customer_id;first_name;last_name;email;gender;age;city;state;product_id;product_name;brand;category;price
1;Sarah;Thomas;mary47@gmail.com;Male;62;South Brian;New Hampshire;1;Side Pro;Sony;Clothing;1437.88
2;Robert;Santiago;adkinsbilly@yahoo.com;Male;42;Port Kathleen;Vermont;2;News Pro;Dell;Clothing;386.46
3;Katherine;Bailey;joshuamooney@yahoo.com;Female;45;Banksside;Minnesota;3;Conference Lite;Samsung;Clothing;1303.32
4;Douglas;Sanders;laurie82@yahoo.com;Female;53;Hudsonton;Wyoming;4;Than Lite;Dell;Electronics;1079.43
5;Megan;Ali;jacksonjason@gmail.com;Male;52;Richardfurt;Michigan;5;Statement Max;Lenovo;Electronics;388.11
6;Danielle;Ayala;sheila49@yahoo.com;Male;22;Diazview;Florida;6;Live Lite;Sony;Clothing;1693.9
7;Regina;Johnson;gina47@ward.com;Male;28;Jamesburgh;Virginia;7;Mr Lite;Dell;Electronics;498.09
8;Katherine;House;alicia16@blake.com;Female;32;Richardmouth;South Carolina;8;Friend X;LG;Clothing;1555.49
9;Crystal;Castro;cameronmoran@sanchez.info;Male;39;Port Staceyview;Ohio;9;Enter Pro;LG;Home & Kitchen;1884.17
10;Rachel;Dawson;jennifer79@jones-conway.biz;Male;57;Port Joshuastad;Rhode Island;10;Out Max;Apple;Toys;768.87
11;Christopher;Taylor;gilbertaaron@gmail.com;Female;40;Bryantmouth;Washington;11;Game Max;Lenovo;Toys;1856.26
12;Rebecca;Caldwell;kristamata@evans.com;Female;33;Kevinmouth;South Dakota;12;Water X;Dell;Home & Kitchen;502.26
13;Jessica;Mcbride;rachel70@stone-evans.org;Female;54;South Mark;Montana;13;Cost Pro;Lenovo;Electronics;1336.1
14;Rodney;Stewart;bwhitaker@yahoo.com;Female;21;New Paul;Arkansas;14;Rich X;Sony;Clothing;20.79
15;Robert;Ramirez;benjamin98@parker.org;Female;65;South Samuel;Hawaii;15;Run Max;Sony;Books;1457.9
16;Kelsey;Patel;qdiaz@hotmail.com;Male;55;Whitebury;Washington;16;Structure X;Dell;Clothing;1609.59
17;Rachel;Robinson;connor77@johnson.com;Female;21;Brownhaven;Georgia;17;Change Max;Sony;Home & Kitchen;1032.33
18;Randall;Bush;sherry88@stewart.net;Female;48;Johnstad;Kentucky;18;Free X;Nike;Toys;1088.01
19;Rebecca;Harris;chaynes@burns.com;Male;34;New Stephen;North Dakota;19;Together X;Samsung;Electronics;101.2
20;Jason;Jackson;richardcarter@hotmail.com;Female;25;Tristanfurt;South Dakota;20;Pressure Lite;Lenovo;Home & Kitchen;1144.11
21;Holly;Hinton;rlane@carr.com;Female;27;East Sherry;New York;21;Drug X;LG;Clothing;980.16
22;Brooke;Taylor;jacksonlarry@yahoo.com;Female;33;East Amy;Florida;22;Dog Pro;Sony;Home & Kitchen;253.49
23;Randy;Stone;jenniferbolton@gmail.com;Female;33;Lake Katherine;Montana;23;As X;Apple;Home & Kitchen;799.2
24;Paul;Hardy;zbarnes@hotmail.com;Female;30;Popeville;Pennsylvania;24;Myself Pro;Samsung;Books;1338
25;Sylvia;Thomas;myerslauren@yahoo.com;Male;22;Anthonyhaven;Michigan;25;Special Pro;Nike;Electronics;1905.03
26;Bradley;Butler;maria94@jones.com;Female;36;West Zachary;Arizona;26;Hour Max;Nike;Electronics;70.54
27;Derrick;Murray;hornedaniel@yahoo.com;Male;64;Breannastad;Louisiana;27;National X;Lenovo;Books;1900.24
28;Amy;Cook;zcox@mendoza-garcia.com;Female;58;Lake Robert;New Jersey;28;Its X;LG;Home & Kitchen;13.4
29;Corey;Martin;kharper@yahoo.com;Female;37;South James;North Dakota;29;Product Pro;Nike;Clothing;1193.5
30;Amanda;Gonzalez;stevenfuller@johnson.com;Male;50;Rodriguezchester;Georgia;30;Game X;Adidas;Books;1981.17
31;Max;Wolfe;grimesstephanie@gmail.com;Female;26;New Aaronshire;Washington;31;Play Max;Nike;Electronics;1748.71
32;David;Perry;acollier@gmail.com;Female;54;Griffithtown;Iowa;32;Hope Pro;Sony;Home & Kitchen;484.18
33;Mark;York;lauralawson@kelly.com;Male;54;Loveside;Missouri;33;Try Lite;Apple;Toys;441.86
34;Kelly;Berger;michelle64@anderson.com;Male;58;Tiffanyberg;Nebraska;34;Mean X;Samsung;Toys;1995.09
35;Kylie;Macias;ecampbell@hotmail.com;Male;44;Donnafurt;Colorado;35;Child Pro;Sony;Books;1244.29
36;Katie;Mccall;rarmstrong@yahoo.com;Male;56;Jessicatown;Idaho;36;Decide Lite;Samsung;Toys;56.54
37;Gregory;Gordon;fjones@kelly.com;Female;63;Lake Annaland;Mississippi;37;Even Lite;Dell;Books;34.72
38;David;Hernandez;cmoreno@krause.com;Male;55;Lake Jill;Georgia;38;In Pro;Apple;Books;1781.85
39;Candace;Burns;wualicia@burns-hodges.com;Male;45;Zacharyview;New York;39;Make Lite;Samsung;Books;1845.36
40;Christopher;Barnett;hooverelizabeth@gmail.com;Female;22;Shanestad;Virginia;40;Strategy Max;LG;Clothing;38.65
41;Erika;Roberts;angelica57@christian.info;Female;44;North Chelseachester;Maryland;41;Kitchen X;Samsung;Books;980.69
42;Maria;Holmes;andrewhammond@murray-rivera.com;Female;57;West Shannon;Texas;42;Listen Pro;Apple;Home & Kitchen;1166.64
43;Victor;Wallace;jessica39@williams-wallace.org;Female;52;Stephanieshire;Louisiana;43;Sing Lite;Nike;Home & Kitchen;1488.13
44;Nicholas;Hernandez;icosta@yahoo.com;Male;65;South Thomas;Louisiana;44;Rise Max;Apple;Toys;1368.11
45;Dawn;Rich;rlarson@burns.com;Male;63;Port Tina;Nebraska;45;Doctor X;Adidas;Electronics;1238.89
46;Bonnie;Wells;jennifer43@hotmail.com;Female;56;Lake Nicole;Nevada;46;Character X;Lenovo;Electronics;19.16
